County,FIPS,Longitude,Latitude,Consortium,Year,Elderly CalFresh,Age 18-59 CalFresh,Children CalFresh,ESL CalFresh,WIC Recipients Reachable,Pct Receiving WIC,Total Population,Elderly Population,Children Population,ESL Population,SSI Recipients
Shasta,US-06089,-122.0883555,40.735175,C-IV,2016,1506,13777,9672,436.0,727.0,0.677409262,178208,48189,37658,1963.0,9165.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,2016,43,160,71,,,,3140,1228,465,35.0,85.0
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2016,493,3597,2798,226.0,155.0,0.636554622,44372,14672,8676,755.0,2380.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2016,2927,21221,19429,6797.0,1035.0,0.5419684,434102,92321,100398,22558.0,11385.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2016,3556,15130,16175,10272.0,744.0,0.595316352,503953,130857,98968,26781.0,8201.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2016,4334,41704,42829,16575.0,2341.0,0.586291686,545008,96403,145017,53504.0,19620.0
Sutter,US-06101,-121.714735,39.02038,C-IV,2016,573,6079,6627,2234.0,287.0,0.645255474,98191,19553,25175,9121.0,3760.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,2016,553,4881,4816,1215.0,270.0,0.613484646,64098,15747,15435,2385.0,2998.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,2016,150,1067,571,,33.0,0.645833333,13482,4929,2167,105.0,629.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2016,5671,51327,67261,40041.0,2338.0,0.641883399,468235,73460,144339,66725.0,17540.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2016,567,3092,1896,90.0,104.0,0.674121406,54282,18652,8734,483.0,1552.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2016,5900,31723,39335,28114.0,1582.0,0.6245,854383,176546,199303,82290.0,14767.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2016,1406,10828,9201,5304.0,480.0,0.602506091,216866,36568,48381,12693.0,5184.0
Yuba,US-06115,-121.499162,39.278915,C-IV,2016,542,6623,6264,1460.0,323.0,0.670113754,76129,13142,21489,3461.0,3704.0
Statewide,,,,,2017,293636,1836798,2039249,1179480.0,,,39693627,7958547,9203689,3664918.0,1154130.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2017,11104,50519,48679,34447.0,,,1655752,328261,346873,136038.0,45115.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2017,14,75,52,0.0,,,1143,398,198,,36.0
Amador,US-06005,-120.238969,38.46328,C-IV,2017,303,1647,1097,71.0,,,37267,13105,5607,414.0,672.0
Butte,US-06007,-121.5660076,39.723785,C-IV,2017,2062,17677,12087,2244.0,,,226478,56416,45689,5035.0,10378.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2017,599,2805,1638,91.0,,,44818,16898,7251,290.0,988.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,2017,116,612,871,405.0,,,22612,4594,6120,2865.0,564.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2017,4737,27961,31871,13710.0,,,1143494,258293,251140,69051.0,23320.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2017,298,2838,2174,194.0,,,27063,6800,5811,452.0,1715.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2017,1273,6560,4507,752.0,,,185090,53135,36164,3116.0,2823.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,2017,8782,95415,119527,53200.0,,,999902,169283,280718,107477.0,41278.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,2017,210,1552,1711,582.0,,,29204,6352,7482,2921.0,1061.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,2017,1519,12167,7142,883.0,,,136835,33792,27901,2263.0,5236.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2017,3051,19230,20091,21796.0,,,189376,33277,54792,34137.0,9988.0
Inyo,US-06027,-117.7797286,36.626,C-IV,2017,200,964,803,179.0,,,18693,5837,3868,447.0,366.0
Kern,US-06029,-118.4426011,35.29441,C-IV,2017,7901,67421,87057,34717.0,,,897727,141680,255195,84362.0,30862.0
Kings,US-06031,-119.6135104,36.138775,C-IV,2017,1109,10553,12410,5356.0,,,150441,22007,45775,13954.0,4586.0
Lake,US-06033,-122.9624445,39.124455,C-IV,2017,1139,6308,4619,956.0,,,65161,19552,13580,2024.0,3576.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,2017,199,1699,1358,53.0,,,30652,7058,5289,615.0,905.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2017,73289,474008,538420,376091.0,,,10288515,1987419,2295832,1332866.0,374280.0
Madera,US-06039,-119.84174,37.27052,C-IV,2017,1038,10261,16653,9131.0,,,157296,30181,42323,19613.0,4467.0
Marin,US-06041,-122.870429,38.068145,C-IV,2017,1341,4205,4444,3839.0,,,264413,78078,52532,9885.0,2720.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2017,238,1017,631,41.0,,,18058,6658,2863,166.0,426.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2017,1032,6053,4983,1579.0,,,89329,25395,19116,4280.0,3031.0
Merced,US-06047,-120.1246993,37.18687,C-IV,2017,2420,22947,29720,13709.0,,,275926,43155,79909,33572.0,10549.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,2017,66,595,516,37.0,,,9431,3135,1781,274.0,410.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,2017,63,337,289,133.0,,,13827,2967,2836,848.0,97.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,2017,2961,14723,27047,20232.0,,,445408,83304,114577,74195.0,7831.0
Napa,US-06055,-122.5128064,38.509635,C-IV,2017,604,2512,3318,2360.0,,,142898,35591,29466,10671.0,1970.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,2017,843,4013,2471,214.0,,,98847,34886,16217,1160.0,1868.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,2017,21610,94185,124697,101791.0,,,3201395,650820,723961,312733.0,67526.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,2017,1718,8103,6464,1607.0,,,380976,100816,77003,7018.0,5003.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2017,174,1148,736,47.0,,,19434,7402,3174,81.0,633.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,2017,17466,120072,135592,55786.0,,,2395487,477592,598978,180207.0,58028.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2017,11247,101425,96865,47124.0,,,1524524,295548,362411,95631.0,61582.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2017,335,2022,2599,1366.0,,,58519,11234,14439,5043.0,874.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2017,21239,164951,179841,60407.0,,,2168360,360581,579729,159229.0,66585.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,2017,25554,125134,124285,92716.0,,,3327562,660989,787752,223456.0,74300.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2017,9768,25906,17152,21827.0,,,879517,193624,127629,98626.0,35747.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2017,5999,46993,55568,20009.0,,,750002,132452,200170,62413.0,26463.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2017,1680,8476,7292,2939.0,,,280822,78771,50028,9470.0,3913.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2017,3503,9557,13330,11267.0,,,774974,177938,162564,55820.0,9550.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2017,2583,14844,20842,14114.0,,,451688,91564,100702,45877.0,7869.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2017,10140,37812,43581,38302.0,,,1952286,379958,444642,169331.0,40724.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2017,2478,11573,11455,8750.0,,,278335,63450,58310,20196.0,4625.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,2017,1672,12855,9275,413.0,,,178359,48890,37586,2176.0,9049.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,2017,47,152,73,,,,3138,1248,464,,79.0
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2017,504,3277,2622,219.0,,,44325,14972,8609,665.0,2334.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2017,3122,19457,18023,6195.0,,,439320,96492,100669,20285.0,11067.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2017,3560,13464,14220,9052.0,,,507323,135829,98139,26059.0,8029.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2017,4760,38928,40179,15443.0,,,551712,99859,145609,49236.0,19222.0
Sutter,US-06101,-121.714735,39.02038,C-IV,2017,628,5750,6282,2042.0,,,98992,20046,25083,9073.0,3766.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,2017,559,4500,4505,1138.0,,,64313,16080,15426,2512.0,2945.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,2017,160,1008,532,,,,13447,5064,2147,152.0,614.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2017,5907,49992,64931,38463.0,,,473308,75894,144428,61937.0,17521.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2017,578,2733,1760,74.0,,,54193,19020,8650,371.0,1540.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2017,6080,29547,35864,25344.0,,,858585,183314,197824,77750.0,14726.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2017,1435,9803,8311,4687.0,,,220171,38002,49156,13088.0,5077.0
Yuba,US-06115,-121.499162,39.278915,C-IV,2017,619,6457,6186,1337.0,,,76904,13591,21502,3464.0,3621.0
Statewide,,,,,2018,322094,1773510,1913457,1093944.0,,,39809693,8221985,9261018,3597443.0,1135009.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2018,11501,47884,44043,30654.0,,,1660202,339021,351696,130524.0,44220.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2018,14,68,39,0.0,,,1154,397,190,,33.416666666666664
Amador,US-06005,-120.238969,38.46328,C-IV,2018,323,1445,973,64.0,,,38094,13314,5642,399.0,647.5
Butte,US-06007,-121.5660076,39.723785,C-IV,2018,2273,17305,11692,2010.0,,,227621,57350,46448,5363.0,10182.75
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2018,620,2712,1623,77.0,,,45157,17243,7178,314.0,963.5833333333334
Colusa,US-06011,-122.4386143,39.169245,C-IV,2018,121,600,753,381.0,,,22098,4723,6121,3184.0,571.1666666666666
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2018,5269,26873,29860,12644.0,,,1149363,266792,251554,69152.0,22931.166666666668
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2018,328,2688,2009,192.0,,,27221,6895,5816,434.0,1697.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2018,1272,5953,4054,665.0,,,188399,55406,35745,3079.0,2766.6666666666665
Fresno,US-06019,-120.862059,36.74633,CalWIN,2018,9095,90733,112941,48747.0,,,1007229,175008,282393,108140.0,41276.416666666664
Glenn,US-06021,-122.1147288,39.591764,C-IV,2018,244,1517,1670,520.0,,,28796,6511,7481,2579.0,1041.8333333333333
Humboldt,US-06023,-123.959972,40.73356,C-IV,2018,1663,11759,6579,756.0,,,136002,34375,28453,2500.0,5039.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2018,3134,18206,18884,20717.0,,,190624,34300,55371,34263.0,9948.583333333334
Inyo,US-06027,-117.7797286,36.626,C-IV,2018,218,961,764,148.0,,,18577,5960,3870,460.0,357.9166666666667
Kern,US-06029,-118.4426011,35.29441,C-IV,2018,8501,64269,83589,33485.0,,,905801,146852,256078,84735.0,31037.583333333332
Kings,US-06031,-119.6135104,36.138775,C-IV,2018,1183,10288,11878,5024.0,,,151662,22623,46215,13829.0,4571.916666666667
Lake,US-06033,-122.9624445,39.124455,C-IV,2018,1565,7398,5131,1278.0,,,65081,19845,13632,2087.0,3506.0833333333335
Lassen,US-06035,-120.2636913,40.446085,C-IV,2018,227,1491,1201,51.0,,,30911,7281,5294,520.0,863.3333333333334
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2018,91132,486906,520268,363721.0,,,10283729,2056614,2298592,1297024.0,366051.5
Madera,US-06039,-119.84174,37.27052,C-IV,2018,1154,9834,15793,8581.0,,,158894,31061,42250,18907.0,4441.333333333333
Marin,US-06041,-122.870429,38.068145,C-IV,2018,1488,4205,4263,3685.0,,,263886,79357,52222,9959.0,2577.9166666666665
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2018,252,958,633,38.0,,,18129,6811,2834,199.0,411.25
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2018,1150,5752,4668,1553.0,,,89299,25835,19133,4402.0,3019.5833333333335
Merced,US-06047,-120.1246993,37.18687,C-IV,2018,2557,21890,27778,12859.0,,,279977,44559,80521,34066.0,10384.333333333334
Modoc,US-06049,-120.1993372,41.590546,C-IV,2018,73,662,512,51.0,,,9612,3188,1769,284.0,413.5833333333333
Mono,US-06051,-118.7402371,38.0878955,C-IV,2018,58,332,273,114.0,,,13822,3154,2836,590.0,89.16666666666667
Monterey,US-06053,-120.9044897,36.35433,C-IV,2018,2939,13496,24569,18334.0,,,443281,85236,116022,75432.0,7590.833333333333
Napa,US-06055,-122.5128064,38.509635,C-IV,2018,633,2243,3004,2117.0,,,141294,36069,29273,11182.0,1867.6666666666667
Nevada,US-06057,-120.3163119,39.266135,C-IV,2018,890,3987,2422,200.0,,,99155,35472,16033,1006.0,1843.6666666666667
Orange,US-06059,-117.8002615,33.66707,CalWIN,2018,22192,87290,112029,90413.0,,,3221103,674940,724718,304940.0,67075.33333333333
Placer,US-06061,-120.7858989,39.013999,CalWIN,2018,1828,7315,5725,1426.0,,,389532,104700,76338,6453.0,4988.583333333333
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2018,182,1122,725,39.0,,,19773,7551,3175,168.0,620.9166666666666
Riverside,US-06065,-115.0250859,33.752845,C-IV,2018,18050,111075,125773,49247.0,,,2415955,497063,601945,181074.0,57936.416666666664
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2018,11983,96234,91993,43300.0,,,1529501,304473,363983,92841.0,60415.833333333336
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2018,338,1891,2377,1132.0,,,57088,11706,14289,5178.0,859.3333333333334
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2018,21422,152270,166608,53670.0,,,2174938,374170,581301,159507.0,65946.58333333333
San Diego,US-06073,-116.693716,33.019645,CalWIN,2018,27745,121601,116459,86280.0,,,3337456,682446,804235,216965.0,73274.33333333333
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2018,10215,24275,15664,20115.0,,,883963,198778,132330,96657.0,35035.083333333336
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2018,6208,43425,50660,17749.0,,,758744,137287,201902,62038.0,25946.916666666668
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2018,1793,7927,6516,2630.0,,,280101,80561,51974,9045.0,3802.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2018,3385,8539,11435,9687.0,,,774155,183173,163129,54023.0,9211.75
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2018,2798,16125,19884,13453.0,,,453457,93932,103199,45552.0,7676.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2018,10216,32789,36942,31912.0,,,1956598,393649,448977,162853.0,39763.833333333336
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2018,2543,11335,10439,7987.0,,,276864,65283,60678,20226.0,4530.666666666667
Shasta,US-06089,-122.0883555,40.735175,C-IV,2018,2007,12897,9205,427.0,,,178271,49766,37648,2041.0,8818.75
Sierra,US-06091,-120.0617973,39.58418,C-IV,2018,47,115,67,,,,3207,1280,469,,77.66666666666667
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2018,577,3229,2560,218.0,,,44612,15148,8574,613.0,2353.3333333333335
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2018,3317,18283,16724,5587.0,,,439793,99982,101176,20223.0,10681.25
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2018,3718,12298,12845,7980.0,,,503332,139599,98066,26868.0,7735.583333333333
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2018,4894,36317,36686,14019.0,,,555624,103114,146558,48530.0,18831.916666666668
Sutter,US-06101,-121.714735,39.02038,C-IV,2018,650,5274,5743,1905.0,,,97238,20461,25070,9529.0,3710.75
Tehama,US-06103,-122.6595518,40.125305,C-IV,2018,627,4274,4207,1043.0,,,64039,16265,15528,2130.0,2879.1666666666665
Trinity,US-06105,-123.5069171,40.672495,C-IV,2018,159,995,514,,,,13635,5139,2150,102.0,601.9166666666666
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2018,6174,47882,62215,36932.0,,,475834,78149,144290,61208.0,17480.166666666668
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2018,576,2608,1606,57.0,,,54740,19317,8567,398.0,1493.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2018,6419,27742,32789,22650.0,,,859073,189578,197155,77382.0,14449.583333333334
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2018,1460,9710,7253,4136.0,,,221270,39228,51447,12376.0,4944.25
Yuba,US-06115,-121.499162,39.278915,C-IV,2018,694,6258,5948,1266.0,,,74727,13995,21485,3897.0,3521.25
Statewide,,,,,2019,534608,1765654,1726193,1072674.0,,,39959095,8353795,9061651,3523601.0,1119516.9166666667
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2019,19496,49067,39045,30618.0,,,1674115,363389,354301,123725.0,43239.583333333336
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2019,24,72,39,0.0,,,1128,415,175,,31.416666666666668
Amador,US-06005,-120.238969,38.46328,C-IV,2019,387,1362,901,37.0,,,38223,13183,5444,441.0,630.4166666666666
Butte,US-06007,-121.5660076,39.723785,C-IV,2019,3289,16564,9990,2008.0,,,216965,56856,43424,5358.0,9454.75
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2019,746,2567,1438,76.0,,,44394,17168,6510,333.0,943.8333333333334
Colusa,US-06011,-122.4386143,39.169245,C-IV,2019,179,597,712,334.0,,,22483,4495,5782,2953.0,550.6666666666666
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2019,8188,26734,26748,11724.0,,,1153077,275661,250901,69338.0,22689.666666666668
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2019,533,2853,1853,152.0,,,27520,6696,5517,429.0,1688.75
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2019,1598,5944,3639,594.0,,,191210,59081,34252,2847.0,2693.1666666666665
Fresno,US-06019,-120.862059,36.74633,CalWIN,2019,14484,87111,103869,45108.0,,,1021960,176739,281014,105377.0,41245.666666666664
Glenn,US-06021,-122.1147288,39.591764,C-IV,2019,345,1597,1477,449.0,,,29197,6232,7246,2578.0,1050.6666666666667
Humboldt,US-06023,-123.959972,40.73356,C-IV,2019,2758,12933,6466,718.0,,,134909,34139,27987,1936.0,4886.916666666667
Imperial,US-06025,-115.058652,33.02615,C-IV,2019,4896,17607,17674,20620.0,,,190025,35559,55110,34202.0,9791.166666666666
Inyo,US-06027,-117.7797286,36.626,C-IV,2019,232,859,701,107.0,,,18462,5936,3555,508.0,351.4166666666667
Kern,US-06029,-118.4426011,35.29441,C-IV,2019,12328,65069,78655,30673.0,,,917379,150342,252977,85522.0,31107.666666666668
Kings,US-06031,-119.6135104,36.138775,C-IV,2019,1759,10439,11348,4703.0,,,154446,22885,43977,14286.0,4570.083333333333
Lake,US-06033,-122.9624445,39.124455,C-IV,2019,1968,6376,4030,768.0,,,64889,19563,14264,2264.0,3451.25
Lassen,US-06035,-120.2636913,40.446085,C-IV,2019,313,1647,1139,45.0,,,29880,6318,5209,482.0,876.3333333333334
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2019,181910,497924,471744,378038.0,,,10260237,2085070,2231467,1265355.0,359101.6666666667
Madera,US-06039,-119.84174,37.27052,C-IV,2019,1632,9621,14870,8042.0,,,158940,31620,41235,18762.0,4424.75
Marin,US-06041,-122.870429,38.068145,C-IV,2019,2089,4306,3773,3412.0,,,261627,83999,49636,9402.0,2498.1666666666665
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2019,350,1045,616,43.0,,,17860,6824,2507,156.0,424.5833333333333
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2019,1552,5837,4315,1376.0,,,88590,25636,20083,3703.0,2981.5833333333335
Merced,US-06047,-120.1246993,37.18687,C-IV,2019,3955,22713,25940,12187.0,,,283408,45081,79847,34355.0,10346.416666666666
Modoc,US-06049,-120.1993372,41.590546,C-IV,2019,139,744,499,39.0,,,9486,3215,1691,353.0,414.75
Mono,US-06051,-118.7402371,38.0878955,C-IV,2019,70,296,246,101.0,,,13881,3360,2510,523.0,90.08333333333333
Monterey,US-06053,-120.9044897,36.35433,C-IV,2019,3495,12640,20926,15633.0,,,446539,85412,114912,73492.0,7405.166666666667
Napa,US-06055,-122.5128064,38.509635,C-IV,2019,833,2224,2510,1832.0,,,140062,35619,27975,10647.0,1848.8333333333333
Nevada,US-06057,-120.3163119,39.266135,C-IV,2019,1194,4345,2364,182.0,,,98613,35874,15540,700.0,1868.25
Orange,US-06059,-117.8002615,33.66707,CalWIN,2019,32978,79099,92237,81334.0,,,3220987,693437,717003,293076.0,66639.33333333333
